Cause,Effect
TTC28,TCF4
BCL2,BCAS1
BCL2,ATP5F1E
TTC28,BCL2
BCL2,TFF3
ATP5F1E,SNRPB
RPS15,SNRPB
COX6B1,SNRPB
FAM227A,SNRPB
ATP5PF,SNRPB
SOD1,SNRPB
TFF3,SNRPB
TTC28,CDK5RAP1
RPS15,PTPRT
PTPRT,IQCN
PTPRT,FTL
TTC28,PTPRT
BACH1,PTPRT
ATP5F1E,BCAS1
RFX2,BCAS1
DNAJB1,BCAS1
IQCN,BCAS1
TTC28,BCAS1
RPS15,TFAP2C
RFX2,TFAP2C
COX6B1,TFAP2C
TTC28,TFAP2C
ATP5F1E,RPS15
ATP5F1E,DNAJB1
ATP5F1E,IQCN
ATP5F1E,COX6B1
ATP5F1E,FTL
ATP5F1E,RPS5
ATP5F1E,SDF2L1
TTC28,ATP5F1E
ATP5F1E,ATP5PF
ATP5F1E,SOD1
ATP5F1E,CFAP298
TFF3,ATP5F1E
RPS15,COX6B1
RPS15,FTL
TTC28,RPS15
RPS15,ATP5PF
RPS15,SOD1
RPS15,CFAP298
TFF3,RPS15
ZNF440,RFX2
RFX2,DNAJB1
FAM227A,RFX2
RABL2B,RFX2
RFX2,CFAP298
RFX2,MRPS6
TTC28,ZNF440
FAM227A,ZNF440
ZNF440,RABL2B
FAM227A,DNAJB1
SOD1,DNAJB1
COX6B1,FTL
RPS5,COX6B1
COX6B1,SOD1
TFF3,COX6B1
RPS5,FTL
ATP5PF,FTL
SOD1,FTL
TTC28,RPS5
RPS5,ATP5PF
RPS5,SOD1
TFF3,RPS5
TTC28,SDF2L1
TFF3,SDF2L1
FAM227A,TTC28
TTC28,RABL2B
BACH1,TTC28
FAM227A,RABL2B
FAM227A,CFAP298
ATP5PF,SOD1
TFF3,ATP5PF
BACH1,TFF3
SOD1,CFAP298
